target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-5	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	10000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	50000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
0.001	100000	1e-8	0.1	999999992550	0	FALSE	1	51999999612600
1e-6	2000	1.2600000000000001e-5	0.1	999999992550	0.0015	FALSE	0.998421052631579	51999999612600
1e-5	2000	1.2600000000000001e-5	0.1	999999992550	0.0215	FALSE	0.9773684210526317	51999999612600
5e-5	2000	1.2600000000000001e-5	0.1	999999992550	0.101	FALSE	0.8936842105263159	51999999612600
1e-4	2000	1.2600000000000001e-5	0.1	999999992550	0.1925	FALSE	0.7973684210526316	51999999612600
5e-4	2000	1.2600000000000001e-5	0.1	999999992550	0.673	FALSE	0.291578947368421	51999999612600
0.001	2000	1.2600000000000001e-5	0.1	999999992550	0.8825	FALSE	0.07105263157894738	51999999612600
1e-6	10000	1.2600000000000001e-5	0.1	999999992550	0.0115	FALSE	0.9878947368421053	51999999612600
1e-5	10000	1.2600000000000001e-5	0.1	999999992550	0.101	FALSE	0.8936842105263159	51999999612600
5e-5	10000	1.2600000000000001e-5	0.1	999999992550	0.437	FALSE	0.5399999999999999	51999999612600
1e-4	10000	1.2600000000000001e-5	0.1	999999992550	0.638	FALSE	0.3284210526315789	51999999612600
5e-4	10000	1.2600000000000001e-5	0.1	54565431692	0.938	TRUE	0.012631578947368433	2837402447984
0.001	10000	1.2600000000000001e-5	0.1	16595842838	0.944	TRUE	0.0063157894736842165	862983827576
