target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-5	2000	0.001	0.2	999999992550	0.0345	FALSE	0.9636842105263158	51999999612600
5e-5	2000	0.001	0.2	999999992550	0.1835	FALSE	0.8068421052631579	51999999612600
1e-4	2000	0.001	0.2	999999992550	0.3425	FALSE	0.6394736842105263	51999999612600
5e-4	2000	0.001	0.2	999999992550	0.895	FALSE	0.0578947368421052	51999999612600
0.001	2000	0.001	0.2	336098236	0.964	TRUE	0.014736842105263171	17477108272
1e-6	10000	0.001	0.2	999999992550	0.0205	FALSE	0.978421052631579	51999999612600
1e-5	10000	0.001	0.2	999999992550	0.1955	FALSE	0.7942105263157895	51999999612600
5e-5	10000	0.001	0.2	999999992550	0.675	FALSE	0.2894736842105262	51999999612600
1e-4	10000	0.001	0.2	999999992550	0.8925	FALSE	0.060526315789473685	51999999612600
5e-4	10000	0.001	0.2	237273736	0.95	TRUE	0	12338234272
0.001	10000	0.001	0.2	80826448	0.95	TRUE	0	4202975296
1e-6	50000	0.001	0.2	999999992550	0.08	FALSE	0.9157894736842106	51999999612600
1e-5	50000	0.001	0.2	999999992550	0.6735	FALSE	0.29105263157894734	51999999612600
5e-5	50000	0.001	0.2	4326241734	0.968	TRUE	0.01894736842105265	224964570168
1e-4	50000	0.001	0.2	1069891011	0.936	TRUE	0.014736842105263055	55634332572
5e-4	50000	0.001	0.2	129583046	0.958	TRUE	0.008421052631578956	6738318392
0.001	50000	0.001	0.2	60277746	0.948	TRUE	0.002105263157894739	3134442792
1e-6	100000	0.001	0.2	999999992550	0.147	FALSE	0.8452631578947368	51999999612600
1e-5	100000	0.001	0.2	999999992550	0.884	FALSE	0.06947368421052626	51999999612600
5e-5	100000	0.001	0.2	2220528864	0.952	TRUE	0.002105263157894739	115467500928
1e-4	100000	0.001	0.2	836926260	0.948	TRUE	0.002105263157894739	43520165520
5e-4	100000	0.001	0.2	120776458	0.962	TRUE	0.012631578947368433	6280375816
0.001	100000	0.001	0.2	55732892	0.938	TRUE	0.012631578947368433	2898110384
1e-6	2000	1e-4	0.2	999999992550	0.003	FALSE	0.9968421052631579	51999999612600
1e-5	2000	1e-4	0.2	999999992550	0.0445	FALSE	0.9531578947368421	51999999612600
5e-5	2000	1e-4	0.2	999999992550	0.1985	FALSE	0.7910526315789473	51999999612600
1e-4	2000	1e-4	0.2	999999992550	0.3425	FALSE	0.6394736842105263	51999999612600
5e-4	2000	1e-4	0.2	999999992550	0.881	FALSE	0.07263157894736837	51999999612600
0.001	2000	1e-4	0.2	3128560916	0.958	TRUE	0.008421052631578956	162685167632
1e-6	10000	1e-4	0.2	999999992550	0.016	FALSE	0.9831578947368421	51999999612600
1e-5	10000	1e-4	0.2	999999992550	0.1885	FALSE	0.8015789473684211	51999999612600
5e-5	10000	1e-4	0.2	999999992550	0.677	FALSE	0.2873684210526315	51999999612600
1e-4	10000	1e-4	0.2	999999992550	0.8815	FALSE	0.07210526315789474	51999999612600
5e-4	10000	1e-4	0.2	2564447660	0.968	TRUE	0.01894736842105265	133351278320
0.001	10000	1e-4	0.2	825482168	0.956	TRUE	0.0063157894736842165	42925072736
1e-6	50000	1e-4	0.2	999999992550	0.083	FALSE	0.9126315789473685	51999999612600
1e-5	50000	1e-4	0.2	999999992550	0.64	FALSE	0.32631578947368417	51999999612600
5e-5	50000	1e-4	0.2	40624933598	0.946	TRUE	0.004210526315789478	2112496547096
1e-4	50000	1e-4	0.2	10604831040	0.94	TRUE	0.010526315789473694	551451214080
5e-4	50000	1e-4	0.2	1298862252	0.93	TRUE	0.02105263157894727	67540837104
0.001	50000	1e-4	0.2	590580264	0.948	TRUE	0.002105263157894739	30710173728
1e-6	100000	1e-4	0.2	999999992550	0.141	FALSE	0.851578947368421	51999999612600
1e-5	100000	1e-4	0.2	999999992550	0.8615	FALSE	0.09315789473684202	51999999612600
5e-5	100000	1e-4	0.2	21415235948	0.958	TRUE	0.008421052631578956	1113592269296
1e-4	100000	1e-4	0.2	8032190288	0.95	TRUE	0	417673894976
5e-4	100000	1e-4	0.2	1186373386	0.94	TRUE	0.010526315789473694	61691416072
0.001	100000	1e-4	0.2	572251836	0.962	TRUE	0.012631578947368433	29757095472
1e-6	2000	1e-5	0.2	999999992550	0.002	FALSE	0.9978947368421053	51999999612600
1e-5	2000	1e-5	0.2	999999992550	0.045	FALSE	0.9526315789473684	51999999612600
